date,INTC
2001-01-26,22.3053814704
2001-01-29,23.0389475277
2001-01-30,23.0016475587
2001-01-31,23.0016475587
2001-02-01,23.5051971403
2001-02-02,22.1872649018
2001-02-05,21.5780320746
2001-02-06,22.0445504965
2001-02-07,21.7335382153
2001-02-08,21.5407106009
2001-02-09,20.8378228452
2001-02-12,21.4971688815
2001-02-13,20.1784768089
2001-02-14,21.2296983196
2001-02-15,22.2746995847
2001-02-16,21.3852044602
2001-02-20,19.5564522464
2001-02-21,19.1272552982
2001-02-22,18.6607368763
2001-02-23,18.6234154025
2001-02-26,18.349724595
2001-02-27,18.0387123137
2001-02-28,17.7650215062
2001-03-01,18.1195755069
2001-03-02,18.2315399281
2001-03-05,18.8971062101
2001-03-06,19.5937737201
2001-03-07,20.4894890902
2001-03-08,20.6823167046
2001-03-09,18.3124031213
2001-03-12,17.2611816106
2001-03-13,18.2750816475
2001-03-14,18.0760337875
2001-03-15,17.7277000325
2001-03-16,17.3420448037
2001-03-19,16.8319846624
2001-03-20,15.3204649754
2001-03-21,15.8989478186
2001-03-22,17.8458846994
2001-03-23,17.9205276469
2001-03-26,17.6095153656
2001-03-27,18.2750816475
2001-03-28,16.7573417149
2001-03-29,16.5209723811
2001-03-30,16.3654662405
2001-04-02,16.0482337136
2001-04-03,15.5506140636
2001-04-04,14.0764158503
2001-04-05,15.942489538
2001-04-06,14.6984404129
2001-04-09,14.430969851
2001-04-10,15.4075484142
2001-04-11,17.1181159612
2001-04-12,17.4913306987
2001-04-16,16.3592459949
2001-04-17,16.1975196086
2001-04-18,19.4569283163
2001-04-19,20.209578037
2001-04-20,20.1722565633
2001-04-23,18.8597847363
2001-04-24,18.1257957525
2001-04-25,18.0573730506
2001-04-26,17.8147834712
2001-04-27,18.7727012975
2001-04-30,19.2267792282
2001-05-01,19.3947258601
2001-05-02,19.8674645276
2001-05-03,18.9219871926
2001-05-04,19.2207554114
2001-05-07,19.3950368724
2001-05-08,19.5942156849
2001-05-09,18.6294433116
2001-05-10,18.0568042255
2001-05-11,17.3908000711
2001-05-14,17.0609101628
2001-05-15,16.930199067
2001-05-16,17.6522222625
2001-05-17,17.8016063719
2001-05-18,17.9011957782
2001-05-21,18.6107702979
2001-05-22,18.3804697959
2001-05-23,17.9260931298
2001-05-24,18.1812909834
2001-05-25,18.1128232666
2001-05-29,17.33478103
2001-05-30,16.5567387935
2001-05-31,16.8119366471
2001-06-01,17.8887471024
2001-06-04,18.1190476045
2001-06-05,18.5049565538
2001-06-06,18.5609755948
2001-06-07,19.3825881966
2001-06-08,19.0900443157
2001-06-11,18.8784168273
2001-06-12,18.7539300695
2001-06-13,18.087925915
2001-06-14,17.1853969206
2001-06-15,17.2289672859
2001-06-18,17.1480508933
2001-06-19,16.6003091587
2001-06-20,17.1107048659
2001-06-21,16.9737694323
2001-06-22,17.1231535417
2001-06-25,17.7891576962
2001-06-26,18.031906874
2001-06-27,17.8327280614
2001-06-28,18.4489375127
2001-06-29,18.2061883349
2001-07-02,18.7103597042
2001-07-03,18.9593332199
2001-07-05,18.5734242706
2001-07-06,17.6957926278
2001-07-09,17.9883365087
2001-07-10,17.2974350027
2001-07-11,17.4654921258
2001-07-12,18.7352570558
2001-07-13,18.7912760968
2001-07-16,18.1314962802
2001-07-17,18.6107702979
2001-07-18,17.9821121708
2001-07-19,18.6481163253
2001-07-20,18.6294433116
2001-07-23,18.0505798876
2001-07-24,17.9758878329
2001-07-25,18.3120020791
2001-07-26,18.5360782432
2001-07-27,18.1875153213
2001-07-30,18.0754772392
2001-07-31,18.5547512569
2001-08-01,19.1398390188
2001-08-02,19.9863489721
2001-08-03,19.7311511186
2001-08-06,18.8591936828
2001-08-07,19.0709547743
2001-08-08,18.4418997671
2001-08-09,18.4668128367
2001-08-10,18.6536608586
2001-08-13,19.0335851699
2001-08-14,18.9027915546
2001-08-15,18.5477803128
2001-08-16,18.784454474
2001-08-17,17.4827465877
2001-08-20,17.5637140639
2001-08-21,16.8599198478
2001-08-22,17.4142356463
2001-08-23,17.2336158917
2001-08-24,18.1118015949
2001-08-27,18.1553994667
2001-08-28,17.7567903532
2001-08-29,17.5014313899
2001-08-30,16.8972894522
2001-08-31,17.4142356463
2001-09-04,16.7228979651
2001-09-05,17.1090505438
2001-09-06,16.2557779102
2001-09-07,16.1249842948
2001-09-10,16.237093108
2001-09-17,14.6924827931
2001-09-18,14.6177435844
2001-09-19,13.8765797639
2001-09-20,12.8738287128
2001-09-21,12.0205560792
2001-09-24,13.2724378263
2001-09-25,13.50288372
2001-09-26,13.0170788629
2001-09-27,12.799089504
2001-09-28,12.7305785626
2001-10-01,12.4627630645
