date,VZ
2000-11-30,19.7444287327
2000-12-01,19.6987484384
2000-12-04,20.0290521047
2000-12-05,20.292592264
2000-12-06,20.643979143
2000-12-07,20.3382725582
2000-12-08,19.7444287327
2000-12-11,19.3719586409
2000-12-12,19.4598053607
2000-12-13,20.2258287569
2000-12-14,19.9412053849
2000-12-15,19.4352082791
2000-12-18,19.6109017186
2000-12-19,18.2299512841
2000-12-20,17.6150242458
2000-12-21,17.1511935654
2000-12-22,16.9122504877
2000-12-26,17.4814972317
2000-12-27,17.7661206037
2000-12-28,17.1968738597
2000-12-29,17.6150242458
2001-01-02,17.6571906712
2001-01-03,18.6691848828
2001-01-04,19.2173484141
2001-01-05,19.1716681199
2001-01-08,19.1980221358
2001-01-09,19.6403728762
2001-01-10,19.884550485
2001-01-11,19.7288430243
2001-01-12,19.6403728762
2001-01-16,19.2440266128
2001-01-17,19.0883191521
2001-01-18,19.7288430243
2001-01-19,19.5979072052
2001-01-22,19.0883191521
2001-01-23,19.0423146751
2001-01-24,18.3593251319
2001-01-25,18.1151475231
2001-01-26,18.3593251319
2001-01-29,18.8547579612
2001-01-30,19.0706251225
2001-01-31,19.4457385504
2001-02-01,19.4634325801
2001-02-02,18.401790803
2001-02-05,18.5787310991
2001-02-06,19.2511042246
2001-02-07,18.7379773657
2001-02-08,18.8087534842
2001-02-09,18.5751922932
2001-02-12,18.9149176619
2001-02-13,19.1803281062
2001-02-14,18.4725669214
2001-02-15,18.4407176681
2001-02-16,18.585808711
2001-02-20,18.2071564772
2001-02-21,17.3401490259
2001-02-22,17.3401490259
2001-02-23,17.382614697
2001-02-26,18.030216181
2001-02-27,17.9948281217
2001-02-28,17.5170893221
2001-03-01,17.1419758941
2001-03-02,17.520628128
2001-03-05,17.0322729105
2001-03-06,17.0287341046
2001-03-07,16.9013370913
2001-03-08,17.428619174
2001-03-09,16.8942594795
2001-03-12,16.7951729136
2001-03-13,17.4038475325
2001-03-14,16.5969997819
2001-03-15,17.0039624631
2001-03-16,16.7491684366
2001-03-19,17.2976833548
2001-03-20,16.6465430648
2001-03-21,16.3174341139
2001-03-22,16.2785072488
2001-03-23,16.6146938115
2001-03-26,16.9862684335
2001-03-27,17.7329564834
2001-03-28,16.6996251537
2001-03-29,17.057044552
2001-03-30,17.4463132036
2001-04-02,17.2162908185
2001-04-03,16.8447161966
2001-04-04,17.3047609666
2001-04-05,17.5170893221
2001-04-06,17.6356393205
2001-04-09,17.9209479445
2001-04-10,18.2026902107
2001-04-11,17.9922751005
2001-04-12,18.5735914219
2001-04-16,18.5450605595
2001-04-17,18.8660327615
2001-04-18,18.9944216423
2001-04-19,19.0800142295
2001-04-20,18.9230944863
2001-04-23,18.8695991193
2001-04-24,18.8339355413
2001-04-25,19.6791623398
2001-04-26,19.7897194316
2001-04-27,19.8646129454
2001-04-30,19.639932404
2001-05-01,20.2176823676
2001-05-02,20.2925758814
2001-05-03,19.9002765234
2001-05-04,19.9002765234
2001-05-07,20.2676113768
2001-05-08,19.8289493674
2001-05-09,19.194137679
2001-05-10,19.0479170093
2001-05-11,19.0051207157
2001-05-14,19.2084031102
2001-05-15,19.2583321194
2001-05-16,19.5793043214
2001-05-17,19.1620404588
2001-05-18,19.3153938442
2001-05-21,19.497278092
2001-05-22,19.4116855048
2001-05-23,19.1513413854
2001-05-24,19.229801257
2001-05-25,19.247633046
