date,SPY
2001-02-27,85.9053848117
2001-02-28,84.2136350939
2001-03-01,84.6552562988
2001-03-02,83.9826363059
2001-03-05,84.7503745658
2001-03-06,85.6607949822
2001-03-07,86.2722702354
2001-03-08,86.3673885024
2001-03-09,83.8127822576
2001-03-12,80.2254654376
2001-03-13,81.5435294551
2001-03-14,79.9333164745
2001-03-15,79.9536976015
2001-03-16,78.3540203279
2001-03-19,79.9482129282
2001-03-20,77.8021800781
2001-03-21,76.4805001805
2001-03-22,75.7038416006
2001-03-23,77.9929425808
2001-03-26,78.9876107777
2001-03-27,80.6022417797
2001-03-28,78.3744580482
2001-03-29,78.6742226344
2001-03-30,79.498570818
2001-04-02,77.8021800781
2001-04-03,75.2065044364
2001-04-04,75.5198925798
2001-04-05,78.3812722113
2001-04-06,77.1890321175
2001-04-09,78.0474415786
2001-04-10,79.4713196158
2001-04-11,79.5258227014
2001-04-12,80.9701330086
2001-04-16,80.1185329416
2001-04-17,81.2494605557
2001-04-18,84.4787266473
2001-04-19,85.6028400983
2001-04-20,84.8193666741
2001-04-23,83.2796723903
2001-04-24,82.8300302801
2001-04-25,83.9132628402
2001-04-26,84.2879689135
2001-04-27,85.6914044614
2001-04-30,86.290934315
2001-05-01,86.5566328546
2001-05-02,86.3999363984
2001-05-03,85.3030748308
2001-05-04,86.7541993012
2001-05-07,86.0047926048
2001-05-08,85.9639171641
2001-05-09,85.6028400983
2001-05-10,85.8549103117
2001-05-11,85.2622000715
2001-05-14,85.4325200849
2001-05-15,85.8276631972
2001-05-16,87.8510608688
2001-05-17,87.9873148357
2001-05-18,88.3892775614
2001-05-21,89.6905149697
2001-05-22,89.5746987231
2001-05-23,88.0554469287
2001-05-24,88.3143367555
2001-05-25,87.2719789547
2001-05-29,86.5770705749
2001-05-30,85.3643927608
2001-05-31,85.8072207079
2001-06-01,86.3386232374
2001-06-04,86.7541993012
2001-06-05,87.7488729484
2001-06-06,87.0199032911
2001-06-07,87.3332914344
2001-06-08,86.5225668081
2001-06-11,85.9094133973
2001-06-12,85.7595311042
2001-06-13,85.023752734
2001-06-14,83.11616654
2001-06-15,83.2499958312
2001-06-18,82.8469005063
2001-06-19,83.209004858
2001-06-20,83.646263085
2001-06-21,84.5959347806
2001-06-22,83.9332128784
2001-06-25,83.1611796647
2001-06-26,83.0450341331
2001-06-27,82.9972089398
2001-06-28,83.4549636782
2001-06-29,83.7624086166
2001-07-02,84.8077300155
2001-07-03,84.7872341873
2001-07-05,83.1338502996
2001-07-06,81.3369915152
2001-07-09,81.7810784966
2001-07-10,80.7972493647
2001-07-11,80.8792319943
2001-07-12,82.7990753129
2001-07-13,83.5164504796
2001-07-16,82.4711290807
2001-07-17,83.2431622943
2001-07-18,82.6760962445
2001-07-19,83.400304948
2001-07-20,82.9015537707
2001-07-23,81.2686657112
2001-07-24,80.4829702063
2001-07-25,81.3711489515
2001-07-26,82.2251702605
2001-07-27,82.5394501022
2001-07-30,82.566778784
2001-07-31,82.9083873076
2001-08-01,83.4276343131
2001-08-02,83.7692428367
2001-08-03,83.3114880983
2001-08-06,82.1910128242
2001-08-07,82.5121207371
2001-08-08,80.9817159178
2001-08-09,81.2208405179
2001-08-10,81.5009622401
2001-08-13,81.5214580683
2001-08-14,81.4872951663
2001-08-15,80.7835822909
2001-08-16,81.0637040131
2001-08-17,79.7655902571
2001-08-20,80.5034660345
2001-08-21,79.1301984032
2001-08-22,79.9500568102
2001-08-23,79.6631063336
2001-08-24,81.3164909045
2001-08-27,80.8314074842
2001-08-28,79.6494447255
2001-08-29,78.9388983132
2001-08-30,77.4221557853
2001-08-31,77.9892273009
2001-09-04,77.4904761236
2001-09-05,77.6817762136
2001-09-06,75.6799502654
2001-09-07,74.2793580515
2001-09-10,75.1880380907
2001-09-17,71.2595400695
2001-09-18,71.0887358077
2001-09-19,69.6539759093
2001-09-20,67.4403540429
2001-09-21,66.7154607559
2001-09-24,69.0609248256
2001-09-25,69.781025922
2001-09-26,69.5341341371
2001-09-27,70.137644341
2001-09-28,71.6258524507
2001-10-01,71.5092615582
2001-10-02,72.4076742644
2001-10-03,73.6215527584
2001-10-04,73.6832782764
2001-10-05,73.5392591544
2001-10-08,73.0591903851
2001-10-09,72.6682794783
2001-10-10,74.2867884803
2001-10-11,75.4389469427
2001-10-12,75.0960426384
2001-10-15,74.9588829741
