date,NVDA
2001-04-26,11.2986566791
2001-04-27,12.1029678326
2001-04-30,12.7617369678
2001-05-01,13.9536494961
2001-05-02,13.6334570559
2001-05-03,13.5737082274
2001-05-04,13.7606148193
2001-05-07,14.3780193808
2001-05-08,13.3377769557
2001-05-09,12.7127122879
2001-05-10,12.2852783607
2001-05-11,11.9712140055
2001-05-14,12.0738594289
2001-05-15,12.5074214411
2001-05-16,13.0972496203
2001-05-17,13.3285848283
2001-05-18,13.2213433411
2001-05-21,13.8188316265
2001-05-22,14.2324773626
2001-05-23,14.1114476843
2001-05-24,14.3198025735
2001-05-25,14.0486348132
2001-05-29,13.4725948253
2001-05-30,13.2213433411
2001-05-31,13.1156338753
2001-06-01,13.8418119452
2001-06-04,13.627328971
2001-06-05,14.3427828922
2001-06-06,14.404063742
2001-06-07,15.2175670229
2001-06-08,14.8223055418
2001-06-11,14.3887435296
2001-06-12,14.8682661791
2001-06-13,14.3688272534
2001-06-14,14.3381868285
2001-06-15,14.5618619302
2001-06-18,13.9858219422
2001-06-19,13.2213433411
2001-06-20,13.7897232229
2001-06-21,14.0501668345
2001-06-22,13.9873539635
2001-06-25,13.9597775811
2001-06-26,14.3626991684
2001-06-27,13.9184130074
2001-06-28,14.0823392806
2001-06-29,14.2094970439
2001-07-02,13.5783042911
2001-07-03,13.752954713
2001-07-05,12.7556088828
2001-07-06,12.3634114442
2001-07-09,11.9589578356
2001-07-10,12.0570071952
2001-07-11,12.0340268766
2001-07-12,12.6652196293
2001-07-13,12.4032439965
2001-07-16,11.4058981663
2001-07-17,12.043219004
2001-07-18,11.6265092255
2001-07-19,11.8134158173
2001-07-20,11.473307101
2001-07-23,10.3871040386
2001-07-24,11.0903017899
2001-07-25,10.9830603027
2001-07-26,12.1029678326
2001-07-27,12.4093720815
2001-07-30,12.1136919813
2001-07-31,12.394051869
2001-08-01,13.1508703639
2001-08-02,13.4634026978
2001-08-03,13.3745454656
2001-08-06,13.7621468405
2001-08-07,13.558388015
2001-08-08,13.2136832349
2001-08-09,12.982348027
2001-08-10,12.9670278145
2001-08-13,13.5108953564
2001-08-14,13.1524023851
2001-08-15,13.1677225976
2001-08-16,13.7223142881
2001-08-17,12.8337419663
2001-08-20,12.7448847341
2001-08-21,12.4767810163
2001-08-22,12.9900081332
2001-08-23,12.7019881392
2001-08-24,13.0650771742
2001-08-27,13.5170234414
2001-08-28,13.3408409982
2001-08-29,12.9118750497
2001-08-30,12.8705104761
2001-08-31,12.9777519632
2001-09-04,12.0753914502
2001-09-05,12.3327710193
2001-09-06,11.8287360298
2001-09-07,11.9528297506
2001-09-10,11.6065929493
2001-09-17,10.414680421
2001-09-18,9.78655171069
2001-09-19,9.66705405361
2001-09-20,8.84895470897
2001-09-21,8.26372259353
2001-09-24,9.19212746777
2001-09-25,8.83363449653
2001-09-26,8.51497407765
2001-09-27,8.0431115343
2001-09-28,8.41692471799
2001-10-01,7.70300281799
2001-10-02,7.31693346435
2001-10-03,8.7570334343
2001-10-04,9.89379319781
2001-10-05,10.0806997897
2001-10-08,10.3074389339
2001-10-09,9.86008873043
2001-10-10,10.4943455257
2001-10-11,11.6311052892
2001-10-12,12.3879237841
2001-10-15,12.3327710193
2001-10-16,13.5737082274
2001-10-17,12.7770571802
2001-10-18,13.3163286583
2001-10-19,13.5890284399
2001-10-22,13.9138169437
2001-10-23,13.6686935446
2001-10-24,14.272309915
2001-10-25,15.1087935145
2001-10-26,14.0302505583
2001-10-29,12.8904267523
2001-10-30,12.8689784549
2001-10-31,13.132486109
2001-11-01,14.25392566
2001-11-02,14.4530884218
2001-11-05,14.5051771441
2001-11-06,15.5009909532
2001-11-07,15.5132471231
2001-11-08,15.2436113841
2001-11-09,16.3007060428
2001-11-12,16.7388641188
2001-11-13,16.6009822068
2001-11-14,16.1383117909
2001-11-15,16.2241049806
2001-11-16,16.0831590261
2001-11-19,15.7307941398
2001-11-20,15.2895720214
2001-11-21,15.0934733021
2001-11-23,15.3048922338
2001-11-26,16.3987554025
