date,BABA
2016-08-26,95.06
2016-08-29,94.88
2016-08-30,96.0
2016-08-31,97.19
2016-09-01,97.42
2016-09-02,99.25
2016-09-06,103.78
2016-09-07,102.32
2016-09-08,102.57
2016-09-09,99.62
2016-09-12,100.8
2016-09-13,100.28
2016-09-14,102.4
2016-09-15,104.45
2016-09-16,104.64
2016-09-19,103.03
2016-09-20,101.45
2016-09-21,106.0
2016-09-22,109.36
2016-09-23,107.71
2016-09-26,105.89
2016-09-27,108.26
2016-09-28,108.75
2016-09-29,105.55
2016-09-30,105.79
2016-10-03,105.38
2016-10-04,105.45
2016-10-05,106.96
2016-10-06,107.08
2016-10-07,106.0
2016-10-10,108.41
2016-10-11,105.23
2016-10-12,103.62
2016-10-13,102.15
2016-10-14,101.85
2016-10-17,102.84
2016-10-18,103.34
2016-10-19,103.93
2016-10-20,103.85
2016-10-21,103.94
2016-10-24,104.5
2016-10-25,104.22
2016-10-26,102.78
2016-10-27,102.38
2016-10-28,101.93
2016-10-31,101.69
2016-11-01,101.15
2016-11-02,98.51
2016-11-03,97.75
2016-11-04,97.57
2016-11-07,99.35
2016-11-08,99.85
2016-11-09,96.67
2016-11-10,94.34
2016-11-11,92.99
2016-11-14,89.77
2016-11-15,91.0
2016-11-16,92.86
2016-11-17,94.07
2016-11-18,93.39
2016-11-21,93.41
2016-11-22,93.21
2016-11-23,93.03
2016-11-25,93.01
2016-11-28,93.76
2016-11-29,94.99
2016-11-30,94.02
2016-12-01,89.86
2016-12-02,90.48
2016-12-05,90.99
2016-12-06,90.4
2016-12-07,91.07
2016-12-08,92.31
2016-12-09,93.28
2016-12-12,92.47
2016-12-13,92.16
2016-12-14,91.19
2016-12-15,88.85
2016-12-16,88.67
2016-12-19,88.93
2016-12-20,89.84
2016-12-21,89.25
2016-12-22,86.8
2016-12-23,86.79
2016-12-27,87.54
2016-12-28,87.37
2016-12-29,87.33
2016-12-30,87.81
2017-01-03,88.6
2017-01-04,90.51
2017-01-05,94.37
2017-01-06,93.89
2017-01-09,94.72
2017-01-10,96.75
2017-01-11,96.94
2017-01-12,95.9
2017-01-13,96.27
2017-01-17,96.12
2017-01-18,96.0
2017-01-19,96.17
2017-01-20,96.06
2017-01-23,98.41
2017-01-24,101.43
2017-01-25,104.06
2017-01-26,102.75
2017-01-27,102.07
2017-01-30,101.02
2017-01-31,101.31
2017-02-01,101.57
2017-02-02,100.84
2017-02-03,100.39
2017-02-06,100.9
2017-02-07,100.83
2017-02-08,103.57
2017-02-09,103.34
2017-02-10,102.36
2017-02-13,103.1
2017-02-14,101.59
2017-02-15,101.55
2017-02-16,100.82
2017-02-17,100.52
2017-02-21,102.12
2017-02-22,104.2
2017-02-23,102.46
2017-02-24,102.95
2017-02-27,103.6
2017-02-28,102.9
2017-03-01,104.04
2017-03-02,103.19
2017-03-03,103.31
2017-03-06,102.31
2017-03-07,102.63
2017-03-08,103.22
2017-03-09,103.24
2017-03-10,103.39
2017-03-13,105.18
2017-03-14,104.25
2017-03-15,103.69
2017-03-16,105.63
2017-03-17,105.61
2017-03-20,107.25
2017-03-21,105.09
2017-03-22,106.09
2017-03-23,108.25
2017-03-24,108.04
2017-03-27,108.08
2017-03-28,107.8
2017-03-29,109.51
2017-03-30,108.85
2017-03-31,107.83
2017-04-03,108.09
2017-04-04,107.52
2017-04-05,107.44
2017-04-06,108.04
2017-04-07,108.99
2017-04-10,111.7
2017-04-11,110.44
2017-04-12,110.63
2017-04-13,110.21
2017-04-17,111.76
2017-04-18,111.23
2017-04-19,110.76
2017-04-20,112.96
2017-04-21,113.11
2017-04-24,114.86
2017-04-25,115.48
2017-04-26,114.97
2017-04-27,115.43
2017-04-28,115.5
2017-05-01,116.68
2017-05-02,118.09
2017-05-03,116.57
2017-05-04,115.86
2017-05-05,116.04
2017-05-08,116.86
2017-05-09,120.0
2017-05-10,119.98
2017-05-11,120.16
2017-05-12,120.34
2017-05-15,121.4
2017-05-16,124.02
2017-05-17,120.72
2017-05-18,121.27
2017-05-19,123.22
2017-05-22,124.75
2017-05-23,122.93
2017-05-24,122.81
2017-05-25,123.63
2017-05-26,123.99
2017-05-30,123.91
2017-05-31,122.46
2017-06-01,123.97
2017-06-02,124.13
2017-06-05,125.37
2017-06-06,124.62
2017-06-07,125.64
2017-06-08,142.34
2017-06-09,139.44
2017-06-12,139.08
2017-06-13,136.6
2017-06-14,136.67
2017-06-15,135.08
2017-06-16,134.87
2017-06-19,139.47
2017-06-20,138.38
2017-06-21,143.29
2017-06-22,142.27
2017-06-23,143.01
2017-06-26,142.73
2017-06-27,141.53
2017-06-28,143.95
2017-06-29,140.81
2017-06-30,140.9
2017-07-03,140.99
2017-07-05,144.87
2017-07-06,142.2
2017-07-07,142.43
2017-07-10,143.81
2017-07-11,145.81
2017-07-12,149.0
2017-07-13,149.52
2017-07-14,151.83
2017-07-17,151.23
2017-07-18,153.75
2017-07-19,153.15
2017-07-20,152.11
2017-07-21,151.89
2017-07-24,152.26
2017-07-25,152.44
2017-07-26,155.79
2017-07-27,154.15
2017-07-28,157.56
2017-07-31,154.95
2017-08-01,154.73
2017-08-02,151.91
2017-08-03,153.32
2017-08-04,153.33
2017-08-07,158.84
2017-08-08,157.5
2017-08-09,157.49
2017-08-10,151.77
2017-08-11,151.7
2017-08-14,154.61
2017-08-15,157.75
2017-08-16,159.5
2017-08-17,163.92
2017-08-18,167.5
2017-08-21,169.25
2017-08-22,174.46
2017-08-23,175.8
2017-08-24,175.0
2017-08-25,171.74
2017-08-28,168.3
2017-08-29,167.41
2017-08-30,171.25
2017-08-31,171.74
2017-09-01,171.04
2017-09-05,169.92
2017-09-06,168.14
2017-09-07,170.48
2017-09-08,169.0
2017-09-11,174.06
2017-09-12,175.31
2017-09-13,178.97
2017-09-14,177.1
2017-09-15,176.7
2017-09-18,179.98
2017-09-19,180.07
2017-09-20,177.95
2017-09-21,177.39
2017-09-22,178.14
2017-09-25,169.59
2017-09-26,167.02
2017-09-27,170.99
2017-09-28,170.24
2017-09-29,172.71
2017-10-02,173.61
2017-10-03,178.56
2017-10-04,178.71
2017-10-05,178.89
2017-10-06,179.2
2017-10-09,182.09
2017-10-10,183.12
2017-10-11,184.69
2017-10-12,180.53
2017-10-13,178.45
2017-10-16,179.56
2017-10-17,175.32
2017-10-18,179.61
2017-10-19,177.93
2017-10-20,177.32
2017-10-23,173.13
2017-10-24,173.7
2017-10-25,170.22
2017-10-26,170.32
2017-10-27,176.15
2017-10-30,181.58
2017-10-31,184.89
2017-11-01,186.08
2017-11-02,184.81
2017-11-03,183.21
2017-11-06,187.84
2017-11-07,188.51
2017-11-08,185.9
2017-11-09,185.13
2017-11-10,186.41
2017-11-13,184.54
2017-11-14,181.79
2017-11-15,181.48
2017-11-16,185.43
2017-11-17,185.13
2017-11-20,188.0
2017-11-21,190.9
2017-11-22,189.84
2017-11-24,191.19
2017-11-27,188.03
2017-11-28,186.69
2017-11-29,179.91
2017-11-30,177.08
2017-12-01,174.61
2017-12-04,169.58
2017-12-05,168.96
2017-12-06,172.63
2017-12-07,174.47
2017-12-08,177.62
2017-12-11,179.29
2017-12-12,174.64
2017-12-13,176.47
2017-12-14,171.75
2017-12-15,173.55
2017-12-18,173.37
2017-12-19,171.28
2017-12-20,172.64
2017-12-21,175.32
2017-12-22,176.29
2017-12-26,172.33
2017-12-27,172.97
2017-12-28,172.3
2017-12-29,172.43
2018-01-02,183.65
2018-01-03,184.0
2018-01-04,185.71
2018-01-05,190.7
2018-01-08,190.33
2018-01-09,190.8
2018-01-10,189.79
2018-01-11,188.75
2018-01-12,187.79
2018-01-16,182.4
2018-01-17,183.83
2018-01-18,184.4
2018-01-19,184.05
2018-01-22,184.02
2018-01-23,192.28
2018-01-24,195.53
2018-01-25,198.33
2018-01-26,205.22
2018-01-29,203.01
2018-01-30,199.66
2018-01-31,204.29
2018-02-01,192.22
2018-02-02,187.31
2018-02-05,180.53
2018-02-06,185.17
2018-02-07,180.3
2018-02-08,173.7
2018-02-09,176.67
2018-02-12,177.44
2018-02-13,179.25
2018-02-14,186.76
2018-02-15,187.45
2018-02-16,183.68
2018-02-20,187.19
2018-02-21,188.82
2018-02-22,188.75
2018-02-23,193.29
2018-02-26,194.19
2018-02-27,188.26
2018-02-28,186.14
2018-03-01,181.99
2018-03-02,179.76
2018-03-05,181.6
2018-03-06,187.37
2018-03-07,189.05
2018-03-08,187.18
2018-03-09,190.55
2018-03-12,192.74
2018-03-13,188.41
2018-03-14,192.56
2018-03-15,199.06
2018-03-16,200.28
2018-03-19,194.53
2018-03-20,198.95
2018-03-21,195.3
2018-03-22,184.65
2018-03-23,181.2
2018-03-26,190.5
2018-03-27,181.89
